J, B, T, Ox, Oy, Oz, p1, p2, p3, p4, p5, p6, m, chi
0.01, 0.0, 0.1, 4.178790822928491e-06, -4.31179134639912e-07, -1.2935374039197361e-06, 1.000000000000001, 4.248354255291635e-18, 4.248354255291589e-18, 4.248354255291573e-18, 8.756510762696592e-27, 8.756510762696313e-27, 1.1257766836627259e-18, 3.845538397238925e-16
0.01, 0.0, 0.5, -1.943229864576068e-06, -1.2935439294543315e-06, -1.925414732987553e-06, 0.9989823603369986, 0.0003351212478269055, 0.0003351212478269031, 0.0003351212478269028, 6.137959759139554e-06, 6.137959759139494e-06, 1.1361871959455458e-18, 0.001537906574930201
0.01, 0.3333333333333333, 0.1, -5.820565253555898e-06, 4.312112141128127e-07, 4.312112141128127e-07, 1.0000000000000178, 1.190882729033996e-16, 4.248354255291621e-18, 1.515557614400456e-19, 8.756510762696645e-27, 8.756510762696458e-27, 1.2129885159737912e-16, 3.845538397238925e-16
0.01, 0.3333333333333333, 0.5, -4.397429431701738e-06, -2.0070378548686618e-07, -1.825191466190245e-06, 0.9988279999075068, 0.0006526262044065412, 0.0003350694656715814, 0.00017203039974089397, 6.137011335881808e-06, 6.137011335881751e-06, 0.00048059580466568895, 0.001537906574930201
0.01, 0.6666666666666666, 0.1, -2.391990809869071e-06, 0.0, 8.625951866276039e-07, 0.9999999999999967, 3.3382377953649724e-15, 4.248354255291579e-18, 5.406599225349867e-21, 8.756510762696616e-27, 8.756510762696368e-27, 3.3579124823969603e-15, 1.035716361855866e-14
0.01, 0.6666666666666666, 0.5, -1.8661712974932243e-06, -1.264082781453682e-06, -8.625900692278046e-07, 0.9982941032140205, 0.0012704628194283776, 0.0003348903632837568, 8.827614134413471e-05, 6.133730961222308e-06, 6.133730961222284e-06, 0.001182186678084262, 0.0022450907949394332
0.01, 1.0, 0.1, 1.2882785012102715e-06, 8.629020289873087e-07, 1.0637263750402442e-06, 0.9999999999998991, 9.35762296883938e-14, 4.248354255291188e-18, 1.9287498479637744e-22, 8.756510762695793e-27, 8.756510762695574e-27, 9.362450742024727e-14, 2.88853103801121e-13
0.01, 1.0, 0.5, -3.7243160591060587e-06, 1.6253782655419712e-06, -1.0041126506592232e-07, 0.9971363210495859, 0.002471653826234743, 0.00033450197063633624, 4.526991893927364e-05, 6.1266173017451255e-06, 6.126617301745099e-06, 0.0024263839072954704, 0.003981431133475867
0.01, 1.3333333333333333, 0.1, 5.773112167206662e-06, 0.0, -4.316861539060446e-07, 0.9999999999973654, 2.623093769662417e-12, 4.2483542552804085e-18, 6.880620924459841e-24, 8.756510762673449e-27, 8.756510762673388e-27, 2.623105562306677e-12, 8.094339375636573e-12
0.01, 1.3333333333333333, 0.5, -6.2036965864376015e-06, 4.6147714956388e-07, -1.5257630563045228e-06, 0.994827879758041, 0.00480297925594118, 0.0003337275748543162, 2.3188543669093864e-05, 6.1124337482446495e-06, 6.112433748244595e-06, 0.004779790712272226, 0.007530901775925619
0.01, 1.6666666666666665, 0.1, 1.0614038905343293e-05, -4.618324356188029e-07, -6.629463310389519e-07, 0.999999999926456, 7.352958060913176e-11, 4.2483542549792616e-18, 2.454592250667471e-25, 8.756510762052813e-27, 8.756510762052595e-27, 7.352962083155861e-11, 2.2690084886160617e-10
0.01, 1.6666666666666665, 0.5, 5.189679892492194e-06, 1.065084401260838e-06, -9.64536425612297e-07, 0.9903311191044696, 0.009312640625191116, 0.00033221907970841996, 1.1851581239348578e-05, 6.084804695887002e-06, 6.084804695886966e-06, 0.009300789043951858, 0.014467194661374822
0.01, 2.0, 0.1, 6.214825620132203e-06, 1.066433513480462e-06, -6.637019659988002e-07, 0.9999999979388435, 2.0611536181902195e-09, 4.248354246535093e-18, 8.756512757885257e-27, 8.756510744648043e-27, 8.756508731411355e-27, 2.061153676923619e-09, 6.3603969794945925e-09
0.01, 2.0, 0.5, -1.6446441444273319e-06, 1.0065878719334461e-07, 7.642161551293233e-07, 0.9816726293191724, 0.01797996138556411, 0.0003293144799713782, 6.031605415339124e-06, 6.0316050959870224e-06, 6.031604776634997e-06, 0.0179739297804682, 0.027754050356852293
0.01, 2.333333333333333, 0.1, 8.64651334842037e-06, 0.0, 0.0, 0.9999999422225281, 5.7777481855953276e-08, 4.248354009832479e-18, 8.75651025676759e-27, 8.75651025676756e-27, 3.1237968864507476e-28, 5.7777481855953276e-08, 1.782922501728949e-07
0.01, 2.333333333333333, 0.5, 3.315536172499023e-06, -3.0241726372176683e-07, -1.5006875311990384e-06, 0.9652277672279893, 0.034433528946674556, 0.000323797843318775, 5.930564371177688e-06, 5.93056437117761e-06, 3.0448532736872957e-06, 0.03443048409340129, 0.05266097380138589
0.01, 2.6666666666666665, 0.1, 2.3270596720914583e-05, -2.0231816095367373e-07, 8.688772885905532e-07, 0.9999983804058465, 1.6195941692231113e-06, 4.2483473746817845e-18, 8.756496580702823e-27, 8.756496580702512e-27, 1.1143813529918537e-29, 1.6195941694677143e-06, 4.997813400357635e-06
0.01, 2.6666666666666665, 0.5, 3.286186178508288e-06, -1.301376578020063e-06, -6.357871278160646e-07, 0.9347254819215647, 0.06494795242980639, 0.0003135654665328492, 5.743151852993144e-06, 5.743151852993126e-06, 1.5138783922130218e-06, 0.06494643855141431, 0.09765105426564166
0.01, 3.0, 0.1, 7.285160885794895e-05, 8.728501560099911e-07, -4.3642507800499557e-07, 0.999954602131279, 4.539786870243355e-05, 4.248161389062821e-18, 8.756113235770585e-27, 8.756113235770492e-27, 3.975269258963457e-31, 4.5397868702545505e-05, 0.00014009047850584893
0.01, 3.0, 0.5, 1.7569268216277578e-05, 8.69454658516227e-07, 1.3041819877743407e-06, 0.880526729399106, 0.11916633432063582, 0.00029538381058262644, 5.41014320820965e-06, 5.410143208209616e-06, 7.321832634336848e-07, 0.11916560213737311, 0.17350132347506814
0.01, 3.333333333333333, 0.1, -4.854607036641756e-07, 6.160597141708284e-07, -2.0507430378873917e-07, 0.99872898373693, 0.0012710162630813668, 4.242954527941773e-18, 8.745381095109324e-27, 8.745381095109324e-27, 1.4163991169190474e-32, 0.0012710162630814213, 0.003921978862012403
0.01, 3.333333333333333, 0.5, 4.572486855369817e-05, -1.3370596843582921e-06, -4.6555477637989523e-07, 0.7911734687177387, 0.2085510621070883, 0.00026540913094279814, 4.861137800121067e-06, 4.861137800121042e-06, 3.3776863122202835e-07, 0.20855072433845734, 0.28603239104346956
