J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3 
0.1, 0.0, 0.0, 2.694574626482815e-06, 0.0, 7.28426630914836e-13, -1.9999999999988236, 1.4028789789305601e-12, 1.5449784448881093e-12, 2.0000000000017693, 1.0, 0.0, 0.0, 0.0
0.1, 0.3125, 0.0, 5.870347042358226e-06, 2.2763332216088623e-13, 8.931517299006958e-13, -1.9999999999944893, -0.3124999999928449, 0.31250000000671074, 2.000000000008356, 1.0, 0.0, 0.0, 0.0
0.1, 0.625, 0.0, 6.024419324096586e-06, 5.582198311879349e-13, 2.533374630848185e-11, -1.9999999999943372, -0.6249999999922239, 0.6250000000067686, 2.000000000008885, 1.0, 0.0, 0.0, 0.0
0.1, 0.9375, 0.0, 2.276735825845755e-05, 1.606122476496204e-11, -6.129487481330285e-14, -1.9999999999224294, -0.9374999998831636, 0.9375000000917714, 2.000000000131039, 1.0, 0.0, 0.0, 0.0
0.1, 1.25, 0.0, 2.7713126370260133e-06, 5.199105344296206e-13, -2.473077689177855e-11, -1.9999999999989628, -1.2499999999981408, 1.250000000001228, 2.000000000002052, 1.0, 0.0, 0.0, 0.0
0.1, 1.5625, 0.0, -6.174987757134507e-07, 6.044892076004492e-13, 0.3250225106621346, -1.999999999999714, -1.5624999999991778, 1.5625000000003517, 2.0000000000008873, 1.0, 0.0, 0.0, 0.0
0.1, 1.875, 0.0, 0.42458865130102713, 0.20313906916435404, 1.5139286553150684, -2.00874338103725, -1.7978664409994445, 1.8699766506023914, 2.080853590640201, 1.0, 0.0, 0.0, 0.0
0.1, 2.1875, 0.0, 0.23667237606169186, 0.9462054095725223, 1.2749774893369175, -2.188104199391312, -1.9780592992226285, 2.0004658264920674, 2.21051072666075, 1.0, 0.0, 0.0, 0.0
0.1, 2.5, 0.0, -2.2316649987930105e-07, 0.9999999999999274, 0.08607134468391778, -2.4999999999999485, -1.999999999999878, 2.000000000000059, 2.500000000000128, 1.0, 0.0, 0.0, 0.0
0.1, 2.8125, 0.0, 4.7206066108645625e-07, 0.9999999999999709, -7.774758614687017e-12, -2.812499999999935, -1.9999999999998883, 2.0000000000000737, 2.812500000000118, 1.0, 0.0, 0.0, 0.0
0.1, 3.125, 0.0, 1.2190409490075993e-05, 0.9999999999950682, -3.0293989539131873e-12, -3.12499999997668, -1.999999999966094, 2.000000000025647, 3.1250000000362275, 1.0, 0.0, 0.0, 0.0
0.1, 3.4375, 0.0, 9.539680475581513e-06, 0.9999999999980775, 7.695888371017644e-12, -3.437499999984702, -1.999999999979536, 2.000000000016666, 3.4375000000218296, 1.0, 0.0, 0.0, 0.0
0.1, 3.75, 0.0, 2.907868431947791e-06, 0.9999999999998781, 2.9750424346275394e-12, -3.7499999999985483, -1.999999999998156, 2.0000000000015743, 3.7500000000019575, 1.0, 0.0, 0.0, 0.0
0.1, 4.0625, 0.0, 2.39126716575222e-06, 0.9999999999999369, 1.836752971939859e-13, -4.062499999998957, -1.9999999999987295, 2.0000000000011164, 4.062500000001351, 1.0, 0.0, 0.0, 0.0
0.1, 4.375, 0.0, 7.270422125726927e-07, 0.9999999999999929, 6.714628852932946e-14, -4.374999999999843, -1.999999999999817, 2.0000000000001625, 4.375000000000192, 1.0, 0.0, 0.0, 0.0
0.1, 4.6875, 0.0, -3.4080629539301466e-07, 0.9999999999999789, -7.212008767965017e-14, -4.687499999999417, -1.9999999999993163, 2.0000000000006257, 4.68750000000072, 1.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, -3.4233817469524197e-07, 0.9999999999999478, -9.947598300641403e-14, -4.9999999999982006, -1.999999999997938, 2.000000000001911, 5.00000000000217, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, 1.9082987897007814e-07, 0.0, 1.7315455193779622e-13, -1.9999999999995786, 6.701414662131804e-13, 8.725646683891735e-13, 2.00000000000112, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3125, 0.0, 3.896097001082437e-07, 5.411079748056132e-14, 4.825449957282235e-13, -1.9999999999996128, -0.3124999999992199, 0.31250000000067435, 2.0000000000010645, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.625, 0.0, 2.181008027126569e-07, 3.0159062233013966e-13, 3.582404632881081e-12, -1.99999999999914, -0.6249999999979947, 0.6250000000014612, 2.0000000000025997, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.9375, 0.0, 9.937036649539641e-07, 2.293113693031237e-12, 1.0406236443219246e-10, -1.999999999997247, -0.9374999999916412, 0.9375000000047805, 2.0000000000103864, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.25, 0.0, 1.4081352087749461e-06, 6.534056839245042e-11, 0.12343542817962791, -1.9999999999780742, -1.249999999874547, 1.250000000045819, 2.0000000001493423, 1.0, 0.0, 0.0, 0.0
