J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5, boundary 
0.01, 0.0, 0.0, 3.4041551896461103e-06, 0.0, 1.5162994271408958e-15, -3.999999999999595, 3.977934393712328e-13, 4.0946476372604704e-13, 4.104969747806886e-13, 2.0000000000004103, 2.0000000000004237, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.0, 0.5, 4.866064782565668e-07, 0.0, 0.0013461096757409192, -3.9999999999999893, 7.296013607794228e-15, 7.559011621180875e-15, 7.760462106958642e-15, 2.000000000000008, 2.000000000000008, 0.9989823603369923, 0.0003351212478269037, 0.00033512124782690355, 0.0003351212478269034, 6.1379597591395535e-06, 6.1379597591395535e-06, 0 
0.01, 0.0, 1.0, 9.46828163573242e-07, 0.0, 0.0345934517707755, -3.999999999992008, 7.83020379787447e-12, 8.061700174190057e-12, 8.081902146304364e-12, 2.000000000008108, 2.0000000000083578, 0.9434812990383462, 0.01728046277146297, 0.01728046277145897, 0.01728046277145862, 0.0023386563236350317, 0.002338656323634448, 0 
0.01, 0.0, 1.5, -1.514730582673554e-06, 0.0, 0.0744315471174657, -3.9999999999992704, 7.113761196491709e-13, 7.237569871319379e-13, 7.36741316411158e-13, 2.0000000000007416, 2.0000000000007505, 0.803160190258954, 0.05580634190395471, 0.05580634190395425, 0.05580634190395377, 0.014710392014589922, 0.014710392014589839, 0 
0.01, 0.0, 2.0, 2.1023043204615455e-06, 0.0, 0.08990000180148645, -3.9999999999998503, 1.446910101030297e-13, 1.4920393948368966e-13, 1.497025930962037e-13, 2.0000000000001497, 2.0000000000001545, 0.6641958640542502, 0.08988913538636888, 0.08988913538636868, 0.08988913538636865, 0.03306836489332143, 0.03306836489332134, 0 
0.01, 0.07936507936507936, 0.0, -2.782182055570924e-06, 1.2034122437626156e-16, 5.586522502288753e-15, -3.9999999999885385, -0.0793650793535165, 1.1268771731556026e-11, 0.07936507937664002, 2.000000000011615, 2.000000000012007, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.07936507936507936, 0.5, 9.151875616009164e-06, 0.00010683410124927929, 0.001363068213658601, -3.999999999997255, -0.07936507936230895, 2.698447933388822e-12, 0.07936507936784926, 2.0000000000027804, 2.000000000002877, 0.9989739078080683, 0.00039276603260756304, 0.0003351184123193673, 0.00028593193135830955, 6.137907825006454e-06, 6.1379078250052694e-06, 0 
0.01, 0.07936507936507936, 1.0, -2.2326645997662944e-06, 0.002745512045299643, 0.03469110133106578, -3.999999999998667, -0.07936507936373663, 1.3257677361311853e-12, 0.07936507936642107, 2.000000000001366, 2.0000000000013882, 0.9433785617187314, 0.018705782964097584, 0.017278581071813844, 0.015960270918798, 0.002338401663280607, 0.0023384016632805554, 0 
0.01, 0.07936507936507936, 1.5, -6.386983621448766e-07, 0.00590726564424331, 0.07450080329988802, -3.999999999999579, -0.07936507936465946, 4.1349216224810444e-13, 0.07936507936549894, 2.000000000000423, 2.0000000000004343, 0.803034704172418, 0.05882937573037777, 0.05579762269758135, 0.05292211008613447, 0.014708093656743467, 0.014708093656743358, 0 
0.01, 0.07936507936507936, 2.0, 5.170446544340221e-07, 0.00713492077789575, 0.08993258483898228, -3.999999999999992, -0.07936507936506867, 1.0491433841785103e-14, 0.07936507936508992, 2.0000000000000098, 2.0000000000000098, 0.664101848913496, 0.09351464586678632, 0.08987641182066602, 0.08637972508889054, 0.03306368415508104, 0.03306368415508104, 0 
0.01, 0.15873015873015872, 0.0, 1.9835781231630767e-05, 8.867496035378973e-16, 2.147245573499072e-15, -3.9999999999839053, -0.15873015871395935, 1.5904691340686005e-11, 0.1587301587463425, 2.0000000000163807, 2.0000000000167883, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.15873015873015872, 0.5, 2.382516909746335e-06, 0.00021636003391406364, 0.0014143684604161785, -3.9999999999997997, -0.15873015872995822, 2.0338859375788124e-13, 0.15873015873035842, 2.000000000000203, 2.00000000000021, 0.9989483376809333, 0.0004603185085276183, 0.00033510983449728957, 0.00024395847461359372, 6.137750716715838e-06, 6.137750716715751e-06, 0 
0.01, 0.15873015873015872, 1.0, 7.608344948617507e-06, 0.0055065240208040924, 0.034984403742513645, -3.9999999999976685, -0.15873015872780846, 2.306492868814103e-12, 0.15873015873250668, 2.000000000002375, 2.0000000000024354, 0.9430698369934897, 0.020244243811846984, 0.017272926581230596, 0.014737719791043, 0.0023376364111958987, 0.0023376364111957577, 0 
0.01, 0.15873015873015872, 1.5, 5.551832924933359e-07, 0.011825524333315558, 0.07470848378375985, -3.9999999999997877, -0.1587301587299432, 2.1074265598123487e-13, 0.15873015873037413, 2.0000000000002176, 2.0000000000002243, 0.8026581300817767, 0.06199677214902456, 0.0557714570301223, 0.05017124781570901, 0.014701196461684402, 0.014701196461684338, 0 
0.01, 0.15873015873015872, 2.0, 4.405982824418064e-06, 0.014275013466505122, 0.09003025289680568, -3.9999999999992353, -0.15873015872939, 7.535964137243782e-13, 0.15873015873092675, 2.0000000000007776, 2.0000000000007976, 0.6638198151957336, 0.09725883525849752, 0.08983824270759101, 0.08298382179199246, 0.03304964252309259, 0.033049642523092254, 0 
0.01, 0.23809523809523808, 0.0, 5.1620521074940626e-06, 4.611738550904e-16, -4.2384448106472724e-15, -3.9999999999980815, -0.23809523809332117, 1.924257854076383e-12, 0.23809523809714675, 2.0000000000019673, 2.000000000001987, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.23809523809523808, 0.5, -2.118446070381759e-06, 0.0003313370314740695, 0.001501294677936005, -3.9999999999896163, -0.2380952380847765, 1.0229314241510755e-11, 0.23809523810568917, 2.0000000000105427, 2.0000000000108513, 0.9989050070566171, 0.0005394798535958222, 0.0003350952986922934, 0.00020814282212232906, 6.137484484156717e-06, 6.137484484152929e-06, 0 
0.01, 0.23809523809523808, 1.0, -2.6321048999184207e-06, 0.008298592004428793, 0.035474417129377774, -3.9999999999907168, -0.23809523808588084, 9.13945621443995e-12, 0.23809523810458746, 2.0000000000094214, 2.000000000009708, 0.9425535862880772, 0.021904410544672983, 0.017263471119736255, 0.013605818540244568, 0.0023363567536359305, 0.0023363567536352618, 0 
0.01, 0.23809523809523808, 1.5, -3.341424646974289e-07, 0.017765755133729, 0.07505432301582995, -3.9999999999988254, -0.23809523809405458, 1.148915613382648e-12, 0.23809523809642186, 2.0000000000011844, 2.000000000001231, 0.8020301217013256, 0.06531421220900585, 0.055727820840452594, 0.047548457075276856, 0.014689694086968913, 0.014689694086968455, 0 
0.01, 0.23809523809523808, 2.0, 2.0220819361704834e-06, 0.021425437110722048, 0.09019276273996894, -3.999999999999856, -0.2380952380950932, 1.4655772457138123e-13, 0.2380952380953826, 2.0000000000001483, 2.0000000000001523, 0.6633497983601679, 0.10112426118949953, 0.08977463284602313, 0.07969882407877751, 0.03302624176276637, 0.033026241762766306, 0 
0.01, 0.31746031746031744, 0.0, 4.101086976387308e-06, 2.1398058597483829e-16, 1.6887824210531856e-14, -3.9999999999881792, -0.3174603174483829, 1.1598217042157551e-11, 0.31746031747224773, 2.0000000000119567, 2.0000000000124025, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.31746031746031744, 0.5, 5.464778983554908e-06, 0.00045466077644358826, 0.0016260220714022656, -3.9999999999983187, -0.31746031745863756, 1.6838815440674758e-12, 0.3174603174619876, 2.0000000000017213, 2.000000000001742, 0.9988428267192264, 0.000632242706413726, 0.00033507443951280325, 0.00017758192997066063, 6.137102434961049e-06, 6.137102434960792e-06, 0 
0.01, 0.31746031746031744, 1.0, 1.8286704308468488e-06, 0.011137383882610088, 0.03616289471771251, -3.9999999999929523, -0.3174603174532052, 6.906170881760434e-12, 0.3174603174674291, 2.000000000007119, 2.000000000007393, 0.9418272444439094, 0.023695429534734688, 0.017250167704808663, 0.012558045652124658, 0.0023345563322088522, 0.0023345563322082125, 0 
0.01, 0.31746031746031744, 1.5, 4.139407907277626e-07, 0.02373890893900285, 0.07553787387466772, -3.9999999999995874, -0.3174603174599046, 4.007103601555707e-13, 0.3174603174607299, 2.000000000000414, 2.0000000000004277, 0.8011501059152343, 0.0687874883230166, 0.055666674306503905, 0.045048579384013764, 0.01467357603561456, 0.014673576035614427, 0 
0.01, 0.31746031746031744, 2.0, 1.2656756775974998e-06, 0.028591325012531938, 0.0904197087433499, -3.999999999999832, -0.3174603174601476, 1.6655082836261395e-13, 0.3174603174604866, 2.000000000000171, 2.0000000000001754, 0.6626918586561105, 0.10511345310956119, 0.08968559038982207, 0.07652212809702928, 0.03299348487373855, 0.032993484873738474, 0 
0.01, 0.3968253968253968, 0.0, 1.33223630583712e-05, 3.1417808726351388e-15, 1.272899717100385e-14, -3.9999999999934808, -0.39682539681888057, 6.5743652799271644e-12, 0.39682539683185575, 2.000000000006623, 2.000000000006822, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.3968253968253968, 0.5, -2.0290662893808487e-07, 0.0005894357729664926, 0.001791669733866777, -3.999999999978071, -0.3968253968032541, 2.1486410311933848e-11, 0.3968253968475377, 2.000000000022153, 2.000000000023025, 0.9987602341220196, 0.0007409408641094686, 0.0003350467327833973, 0.00015150509114307661, 6.1365949685027405e-06, 6.136594968492036e-06, 0 
0.01, 0.3968253968253968, 1.0, 8.546869411886135e-07, 0.014038734023113317, 0.037052269051179726, -3.999999999976783, -0.3968253968019525, 2.276056310415641e-11, 0.39682539684883694, 2.000000000023464, 2.0000000000243743, 0.940887218593716, 0.02562705620821344, 0.01723295053079587, 0.011588322185100322, 0.0023322262410861534, 0.00233222624108403, 0 
0.01, 0.3968253968253968, 1.5, 5.3320804158651924e-06, 0.029755893843993717, 0.07615850090999245, -3.999999999999117, -0.3968253968245146, 8.906958166052143e-13, 0.3968253968262712, 2.000000000000896, 2.000000000000928, 0.8000172888260526, 0.07242249360931709, 0.05558796226554266, 0.04266659976532371, 0.014652827766882004, 0.014652827766881692, 0 
0.01, 0.3968253968253968, 2.0, 2.1498085546883816e-06, 0.0357777718318887, 0.09071052255260009, -3.999999999999416, -0.3968253968248097, 5.754623972057766e-13, 0.39682539682598283, 2.0000000000005915, 2.0000000000006084, 0.6618460828432507, 0.10922890477848192, 0.08957112708063435, 0.07345113294659333, 0.03295137617551974, 0.032951376175519465, 0 
0.01, 0.47619047619047616, 0.0, 1.0171674557316046e-05, 2.2344563274040208e-15, 2.9154321582845524e-14, -3.9999999999961298, -0.47619047618660715, 3.899777979600766e-12, 0.4761904761943047, 2.0000000000039324, 2.0000000000040488, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.01, 0.47619047619047616, 0.5, 2.0831250554603775e-05, 0.000739052797692283, 0.002002376358804242, -3.9999999999822853, -0.4761904761727238, 1.776373101417059e-11, 0.47619047620807525, 2.0000000000180314, 2.0000000000185074, 0.9986551546850682, 0.0008683073656877896, 0.0003350114825590096, 0.00012925456800372197, 6.135949338127004e-06, 6.135949338121162e-06, 0 
