J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5, boundary 
0.1, 0.0, 0.0, 4.237196411363553e-06, 0.0, 6.318628081940557e-13, -3.999999999995099, 3.810975047173161e-12, 5.434655374146556e-12, 5.453760385166918e-12, 2.00000000000546, 2.0000000000076037, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 0.3333333333333333, 0.0, 1.2841703606508219e-05, 2.1062093606468523e-13, 8.53349978561014e-15, -3.9999999999452385, -0.3333333332782727, 5.7576091217171515e-11, 0.3333333333845575, 2.0000000000641256, 2.000000000082575, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 0.6666666666666666, 0.0, 1.4650035347256403e-06, 5.688999857073426e-15, -3.092682436687331e-13, -3.9999999999993743, -0.6666666666660319, 6.789321168214536e-13, 0.6666666666671943, 2.00000000000071, 2.00000000000099, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 1.0, 0.0, 4.551854890034242e-07, 4.442106952196503e-15, 1.281119522158693e-14, -3.999999999999698, -0.9999999999996817, 3.3161843205177773e-13, 1.000000000000227, 2.0000000000003655, 2.0000000000004947, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 1.3333333333333333, 0.0, 1.123600754765537e-06, 1.4229796671464713e-14, 1.1609824657645462e-14, -3.9999999999990568, -1.3333333333323116, 9.398524706958744e-13, 1.333333333334007, 2.000000000001225, 2.0000000000015192, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 1.6666666666666665, 0.0, 1.1537279269357498e-06, 1.2181990057293478e-14, 7.544085223944733e-14, -3.9999999999996385, -1.66666666666626, 4.093308199973363e-13, 1.6666666666666146, 2.0000000000004188, 2.0000000000009392, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 2.0, 0.0, -2.7674602175986585e-07, 6.45236981644296e-14, -8.537187187788871e-15, -3.9999999999984217, -1.9999999999981901, 1.7039026036565526e-12, 1.9999992379564622, 2.0000000000019265, 2.000000762047383, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 2.333333333333333, 0.0, 1.2889538711826753e-06, 6.490531932100897e-15, 3.18638951484049e-13, -3.999999999999468, -2.333333333332735, 4.459479510892336e-13, 2.0000000000005067, 2.000000000000776, 2.3333333333340462, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 2.6666666666666665, 0.0, -8.303699683652195e-07, 2.7694966582046227e-13, 5.552362149494597e-15, -3.999999999997515, -2.666666666663505, 2.868861804671474e-12, 2.0000000000016684, 2.0000000000031846, 2.66666666667128, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 3.0, 0.0, -2.3519397148808255e-07, 1.0192106698430629e-14, -1.3955780304020763e-13, -3.9999999999968625, -2.9999999999965015, 2.4624929613982956e-12, 2.000000000003482, 2.0000000000048677, 3.0000000000035167, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 3.333333333333333, 0.0, -6.215150972411332e-07, 1.8391113046032385e-13, 2.384203623172514e-12, -3.9999999999989932, -3.3333333333320163, 9.77680967069619e-13, 2.0000000000011413, 2.0000000000015308, 3.3333333333346897, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 3.6666666666666665, 0.0, -2.5642331133866035e-08, 1.59966118881344e-12, 0.7575931336178282, -3.9999999999948472, -3.666666666659953, 4.638108446816385e-12, 2.0000000000061275, 2.00000000000835, 3.6666666666731498, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 4.0, 0.0, 0.4280093420862975, 0.5050620890787361, 1.499999999978662, -4.0524141075015745, -3.8427067261486383, 0.05495759977442962, 2.047678651411852, 2.0549575999876746, 4.067272581137135, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 4.333333333333333, 0.0, -2.4559272282677396e-06, 0.9999999999873742, 0.7424068663788922, -4.333333333289182, -3.99999999995138, 3.623813393759637e-11, 2.000000000048189, 2.0000000000653366, 4.333333333383468, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 4.666666666666666, 0.0, 9.496107962523334e-08, 0.9999999999979975, 1.8911872068372304e-11, -4.666666666650346, -3.9999999999822586, 1.3826713944332522e-11, 2.0000000000175833, 2.0000000000231988, 4.666666666685304, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 5.0, 0.0, -2.386830251195195e-07, 0.9999999999999821, 5.9539040364597895e-12, -4.9999999999995905, -3.9999999999995888, 3.2644081130015e-13, 2.000000000000425, 2.000000000000566, 5.000000000000447, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
2.0, 0.0, 0.0, 0.9590282991481641, 0.0, 3.694500909301038e-17, -6.400271038840161, 3.635288948186968, 5.518411671402067, 5.518411671402206, 7.518411671402218, 17.320217104859523, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 0.3333333333333333, 0.0, 0.9590284119998739, 1.231500303100346e-17, 3.2143777038644438e-18, -6.400271038840041, 3.635290220396194, 5.185079636804798, 5.851746303471329, 7.518412970138465, 17.32021972885765, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 0.6666666666666666, 0.0, 0.9590282693164114, 2.1429184692429625e-18, -2.504886797094019e-19, -6.400271038840145, 3.635288611885167, 4.851744661421541, 6.185077994754846, 7.51841132808822, 17.320216411219544, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 1.0, 0.0, 0.959028352805591, 1.2148010577863858e-17, 7.282784462811641e-18, -6.400271038840142, 3.635289553082326, 4.518412288910142, 6.518412288909961, 7.51841228891021, 17.320218352487785, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 1.3333333333333333, 0.0, 0.9590283139850946, 6.99810811111739e-18, 5.99780643811e-16, -6.40027103884016, 3.635289115447866, 4.185078508817309, 6.851745175483843, 7.518411842150675, 17.32021744984389, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 1.6666666666666665, 0.0, 0.9590281136080389, 4.120017731185305e-16, 2.1939424541659017e-17, -6.400271038839545, 3.635286856529603, 3.8517428694874365, 7.185076202803832, 7.518409536152136, 17.3202127907304, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 2.0, 0.0, 0.9590282392643417, 2.1624391138890068e-17, -5.899209763386999e-16, -6.400271038840128, 3.518410982237913, 3.63528827310054, 7.518410655074926, 7.518411309402719, 17.32021571245681, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 2.333333333333333, 0.0, 0.9590281806215701, 1.872112222606394e-17, 8.64539007671015e-17, -6.400271038840058, 3.185076974024416, 3.6352876120032676, 7.518410307357712, 7.85174364069151, 17.320214348910767, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 2.6666666666666665, 0.0, 0.9590283822323017, 7.92603249836244e-17, 4.44090161068993e-16, -6.400271038840103, 2.8517459608956166, 3.635289884818502, 7.518412627562322, 8.185079294229821, 17.32021903670991, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 3.0, 0.0, 0.9590282820541056, 3.147812296053926e-16, 0.3888273796848283, -6.400271038840009, 2.51841147467706, 3.6352887554816364, 7.518411474677283, 8.518411474679212, 17.3202167073932, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 3.333333333333333, 0.0, 0.9269868736443563, 0.2592182531232189, 0.4277898152924189, -6.832104847981707, 2.976360111893422, 5.155827983453392, 5.442178435204195, 7.155827983454167, 17.03687823469876, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 3.6666666666666665, 0.0, 0.9200820536606833, 0.28519321019494626, 0.0779464677346641, -6.922839699376118, 2.846758001805039, 5.079305912810717, 5.416689853181094, 7.079305912811252, 16.976615495633023, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 4.0, 0.0, 0.9124464703992384, 0.3111825649463283, 0.07799123849053896, -7.022235248531139, 2.7072781157798653, 4.995351368064077, 5.38603908074248, 6.995351368064429, 16.91032352426552, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 4.333333333333333, 0.0, 0.9040579985431675, 0.3371873691886389, 0.07803878726050642, -7.130296466282831, 2.558226913106859, 4.90392518837937, 5.349846302945843, 6.903925188381023, 16.837924003746853, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 4.666666666666666, 0.0, 0.894892374951509, 0.36320842311999924, 0.07808901711617483, -7.247028639538224, 2.399876797609844, 4.804994176478273, 5.307777797588101, 6.804994176479395, 16.759350750252377, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
2.0, 5.0, 0.0, 0.8849211812152052, 0.38924671393275545, 0.07811487243826865, -7.372437347091289, 2.232450432980796, 4.698512981779959, 5.259525625553109, 6.698512981780502, 16.674513215676768, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
