J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5 
0.1, 0.0, 0.0, 4.237196411363553e-06, 0.0, 2.3301460906426587e-13, -3.999999999995099, 3.810975047173161e-12, 5.434655374146556e-12, 5.453760385166918e-12, 2.00000000000546, 2.0000000000076037, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.16129032258064516, 0.0, 7.781084173069663e-06, 3.7583001461978364e-14, 5.321641326944945e-13, -3.9999999999829514, -0.16129032256416886, 1.8837195465447496e-11, 0.16129032259644296, 2.000000000019182, 2.0000000000263407, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.3225806451612903, 0.0, 1.1800524132255252e-05, 1.7166584925628854e-13, -1.127748767229036e-13, -3.9999999999484848, -0.3225806451089703, 5.2696375332736734e-11, 0.32258064521048574, 2.000000000061456, 2.000000000076446, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.4838709677419355, 0.0, 3.118455739565748e-07, 1.204008970719138e-15, -5.274816733950029e-13, -3.999999999999641, -0.4838709677415573, 3.363104951155705e-13, 0.4838709677422905, 2.000000000000447, 2.0000000000005125, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.6451612903225806, 0.0, -2.66267478998797e-07, 1.5104707417714772e-15, -3.3605637646320296e-15, -3.999999999999542, -0.645161290322088, 4.10293611397463e-13, 0.6451612903230459, 2.000000000000563, 2.00000000000067, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.8064516129032258, 0.0, 1.2468171513624663e-07, 1.1995614341848336e-16, 5.3695731890278e-15, -3.9999999999999645, -0.806451612903187, 3.0501827663796344e-14, 0.8064516129032622, 2.000000000000043, 2.0000000000000524, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.967741935483871, 0.0, 4.239982297467391e-07, 3.2425911253288322e-15, 4.324431242287893e-14, -3.9999999999997407, -0.9677419354835967, 2.7551477364768383e-13, 0.967741935484081, 2.0000000000003078, 2.0000000000004237, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.129032258064516, 0.0, -1.0759464814368307e-06, 1.406973434434717e-14, -1.0902343262850623e-15, -3.999999999998625, -1.1290322580630285, 1.328433245565031e-12, 1.1290322580656973, 2.0000000000017963, 2.0000000000020486, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.2903225806451613, 0.0, 6.648931933032746e-07, 2.890902632978812e-15, -1.6612557857687244e-14, -3.9999999999994387, -1.2903225806445462, 4.780099160153171e-13, 1.2903225806457082, 2.0000000000006852, 2.000000000000847, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.4516129032258065, 0.0, 1.034812567875037e-06, 8.710844712835156e-15, 4.1031727496491416e-14, -3.999999999999677, -1.4516129032254514, 3.6557857488551735e-13, 1.451612903225924, 2.0000000000003793, 2.0000000000006626, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.6129032258064515, 0.0, 2.800850608795409e-07, 1.612694376087927e-14, 5.782683533306847e-15, -3.999999999999397, -1.6129032258057903, 6.40455613278117e-13, 1.6129032258065668, 2.0000000000007145, 2.000000000001322, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.7741935483870968, 0.0, 1.0092276462840492e-06, 1.0576226497772849e-14, -4.8808566229034135e-14, -3.9999999999996825, -1.7741935483867415, 3.4542645200875384e-13, 1.7741935483869247, 2.000000000000379, 2.0000000000009446, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.935483870967742, 0.0, 1.662251594110927e-07, 3.822449773198707e-16, 4.078474850610954e-14, -3.9999999999999805, -1.9354838709677205, 1.944263326849648e-14, 1.9354838709677082, 2.0000000000000293, 2.000000000000083, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.096774193548387, 0.0, 1.2129011213331525e-06, 2.3732596983614636e-14, 1.009821736237014e-14, -3.9999999999991935, -2.096774193547467, 7.851903429108384e-13, 1.9999999999990101, 2.0000000000010814, 2.096774193551288, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.258064516129032, 0.0, 1.1151070664720537e-06, 3.639734449052174e-15, 1.422116648235739e-13, -3.9999999999996168, -2.2580645161285995, 3.211694742911484e-13, 2.0000000000003606, 2.0000000000005684, 2.258064516129559, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.4193548387096775, 0.0, 5.760038035151904e-07, 6.960732757186428e-14, -4.525595233626727e-15, -3.999999999999132, -2.4193548387086206, 9.95389662499163e-13, 2.0000000000002047, 2.0000000000010845, 2.4193548387116133, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.5806451612903225, 0.0, -1.618369343332933e-08, 2.179865018850004e-15, -1.4611031314310225e-13, -3.9999999999978018, -2.5806451612878747, 1.7191789532011982e-12, 2.0000000000024367, 2.0000000000034124, 2.5806451612927845, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.7419354838709675, 0.0, 5.275171963700989e-08, 2.2474968493444203e-14, 2.854377903075657e-14, -3.999999999998301, -2.7419354838690504, 1.3880398262091823e-12, 2.0000000000018394, 2.000000000002572, 2.741935483872978, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.903225806451613, 0.0, 3.0236081285749507e-07, 1.1387535673932768e-14, 8.264930448563472e-14, -3.999999999998628, -2.9032258064500756, 1.093425070162484e-12, 2.000000000001514, 2.0000000000021103, 2.90322580645318, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
