J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
0.1, 0.0, 0.0, 8.52065500035748e-06, 0.0, 7.107748628525131e-13, -1.9999999999883604, 1.4284336859806493e-11, 1.481751104534831e-11, 2.0000000000174607, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.16129032258064516, 0.0, 5.921104270500965e-06, 1.1464110691169566e-13, 1.2972789553121494e-12, -1.999999999994396, -0.16129032257351553, 0.16129032258754702, 2.000000000008429, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.3225806451612903, 0.0, 7.835728708383005e-06, 4.1847708235875784e-13, 1.5695388517978958e-12, -1.9999999999902196, -0.3225806451485761, 0.32258064517318935, 2.0000000000148352, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.4838709677419355, 0.0, 7.540280704834701e-06, 6.209439623303717e-13, 1.8110052201665761e-12, -1.9999999999910407, -0.48387096772997673, 0.4838709677527254, 2.0000000000137916, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.6451612903225806, 0.0, 7.891356695266527e-06, 1.0026723146705566e-12, 1.6105860206850268e-11, -1.9999999999903082, -0.645161290309207, 0.6451612903341575, 2.00000000001526, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.8064516129032258, 0.0, 1.5898611004941388e-05, 5.816382738733684e-12, 5.7732416259009995e-11, -1.9999999999615043, -0.8064516128477783, 0.8064516129489305, 2.000000000062653, 1.0, 0.0, 0.0, 0.0
, 00.1, 0.967741935483871, 0.0, 2.4387832898292716e-05, 1.9626032398222167e-11, -1.8028114767119734e-11, -1.9999999999121059, -0.9677419353498851, 0.9677419355877942, 2.0000000001500187, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.129032258064516, 0.0, -2.6194271029763513e-08, 8.618461144143074e-16, -5.7177473348696435e-11, -1.9999999999999976, -1.1290322580645111, 1.129032258064519, 2.0000000000000013, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.2903225806451613, 0.0, 3.949715830659992e-06, 1.1816861567071893e-12, 3.634706106019638e-10, -1.999999999997947, -1.2903225806413503, 1.2903225806475926, 2.0000000000041913, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.4516129032258065, 0.0, 3.00710096090874e-05, 1.1724944591126403e-10, -3.5953761138114356e-12, -1.9999999998955786, -1.4516129029894569, 1.4516129033511902, 2.0000000002573106, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.6129032258064515, 0.0, 6.471906869990642e-08, 2.1887410316403673e-14, -3.392910307576057e-10, -1.9999999999999931, -1.612903225806427, 1.6129032258064597, 2.0000000000000258, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.7741935483870968, 0.0, 3.429254717218994e-07, 7.800726312036393e-12, 1.0733749029793502, -1.9999999999998743, -1.7741935483834386, 1.77419354838743, 2.00000000000387, 1.0, 0.0, 0.0, 0.0
, 00.1, 1.935483870967742, 0.0, 0.5014401861278237, 0.3462499687030381, 2.261815868366278, -2.0253558105134233, -1.8146591267532548, 1.9152360308588197, 2.125932714618987, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.096774193548387, 0.0, 0.4666474427496338, 0.7296180220614388, 2.026625078010926, -2.112087274033135, -1.901833098643194, 1.9889370329731024, 2.199191208363044, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.258064516129032, 0.0, 0.00010085280209093384, 0.9999999938678528, 0.8381841316090218, -2.258064515766838, -1.9999999964844102, 2.0000000005533076, 2.258064519835737, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.4193548387096775, 0.0, 8.532500688343873e-07, 0.9999999999998329, 1.89172270514959e-08, -2.419354838709608, -1.9999999999997915, 2.000000000000084, 2.4193548387098986, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.5806451612903225, 0.0, 1.5725964642221424e-05, 0.9999999999701841, -1.9655499450266236e-12, -2.580645161260051, -1.9999999999356544, 2.0000000000345883, 2.580645161358989, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.7419354838709675, 0.0, 3.267793537130477e-06, 0.9999999999991989, 9.242799858810713e-11, -2.741935483869488, -1.9999999999973581, 2.0000000000016653, 2.741935483873791, 1.0, 0.0, 0.0, 0.0
, 00.1, 2.903225806451613, 0.0, 4.647985290325441e-09, 0.9999999999999996, -4.427598288003765e-11, -2.903225806451612, -1.9999999999999984, 2.000000000000002, 2.9032258064516094, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.064516129032258, 0.0, 2.0223644344827263e-05, 0.9999999999849163, -1.0144729500893846e-11, -3.064516128969023, -1.9999999999060072, 2.000000000069702, 3.064516129132716, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.225806451612903, 0.0, 1.0774034685009926e-05, 0.9999999999967271, 4.569189471226309e-11, -3.2258064515942935, -1.999999999973782, 2.0000000000203966, 3.225806451640903, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.3870967741935485, 0.0, 3.907918797479981e-06, 0.9999999999996556, 8.417000429972177e-12, -3.387096774191004, -1.9999999999965588, 2.000000000002776, 3.3870967741972224, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.5483870967741935, 0.0, 5.562574650258556e-06, 0.9999999999994422, 3.558708883133477e-13, -3.548387096769013, -1.9999999999932199, 2.000000000005625, 3.548387096781421, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.7096774193548385, 0.0, 3.912046475651465e-06, 0.9999999999997704, 1.4892198585414463e-12, -3.709677419352226, -1.999999999996667, 2.00000000000283, 3.709677419358392, 1.0, 0.0, 0.0, 0.0
, 00.1, 3.870967741935484, 0.0, 2.4598069969794523e-06, 0.9999999999999226, 2.753353101070388e-13, -3.8709677419344297, -1.9999999999986806, 2.0000000000011413, 3.870967741936885, 1.0, 0.0, 0.0, 0.0
, 00.1, 4.032258064516129, 0.0, 3.611073325693326e-06, 0.9999999999998592, 1.0462741784067475e-13, -4.032258064513865, -1.9999999999972211, 2.000000000002438, 4.032258064519081, 1.0, 0.0, 0.0, 0.0
, 00.1, 4.193548387096774, 0.0, 1.678461348297855e-06, 0.9999999999999564, 4.13347134298192e-13, -4.193548387095953, -1.9999999999990112, 2.0000000000008797, 4.19354838709782, 1.0, 0.0, 0.0, 0.0
, 00.1, 4.354838709677419, 0.0, 9.545723064496858e-07, 0.9999999999999926, 9.32698362987594e-14, -4.354838709677259, -1.9999999999998084, 2.000000000000171, 4.354838709677626, 1.0, 0.0, 0.0, 0.0
, 00.1, 4.516129032258064, 0.0, 1.1088827135824486e-06, 0.9999999999999865, 2.168265567092931e-14, -4.516129032257739, -1.9999999999996156, 2.0000000000003486, 4.516129032258468, 1.0, 0.0, 0.0, 0.0
, 00.1, 4.67741935483871, 0.0, 1.9531796995042594e-07, 0.9999999999999996, -1.411093464298574e-14, -4.6774193548387, -1.9999999999999865, 2.0000000000000098, 4.677419354838728, 1.0, 0.0, 0.0, 0.0
