J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3 
0.1, 0.0, 0.0, 8.52065500035748e-06, 0.0, 4.989124331115293e-13, -1.9999999999883604, 1.4284336859806493e-11, 1.481751104534831e-11, 2.0000000000174607, 1.0, 0.0, 0.0, 0.0
0.1, 0.07936507936507936, 0.0, 4.9866660290498466e-06, 3.959622485012137e-14, 7.875163758107008e-13, -1.999999999996023, -0.07936507936006636, 0.07936507937001328, 2.0000000000059686, 1.0, 0.0, 0.0, 0.0
0.1, 0.15873015873015872, 0.0, 6.234792683051937e-06, 1.2500259933503187e-13, 1.4657259433237442e-12, -1.9999999999937883, -0.15873015872225826, 0.15873015873781077, 2.0000000000093423, 1.0, 0.0, 0.0, 0.0
0.1, 0.23809523809523808, 0.0, 7.451761107377108e-06, 2.722511364888109e-13, 1.064128502565352e-12, -1.999999999991143, -0.23809523808385694, 0.2380952381060824, 2.000000000013365, 1.0, 0.0, 0.0, 0.0
0.1, 0.31746031746031744, 0.0, 6.6084512532760264e-06, 2.939118854565163e-13, 2.0960469409771813e-12, -1.9999999999930078, -0.31746031745123343, 0.3174603174688287, 2.000000000010602, 1.0, 0.0, 0.0, 0.0
0.1, 0.3968253968253968, 0.0, 8.371893430433874e-06, 6.049570001359825e-13, 1.1228827097054857e-12, -1.9999999999888622, -0.39682539681074747, 0.39682539683888385, 2.000000000016999, 1.0, 0.0, 0.0, 0.0
0.1, 0.47619047619047616, 0.0, 6.626039500884362e-06, 4.721472362034188e-13, 5.3634547537035974e-12, -1.999999999993047, -0.47619047618120786, 0.4761904761988534, 2.0000000000106968, 1.0, 0.0, 0.0, 0.0
0.1, 0.5555555555555556, 0.0, 1.0557439846334282e-05, 1.4562990245333789e-12, 1.1500934124878813e-11, -1.9999999999825153, -0.5555555555318875, 0.5555555555765356, 2.000000000027163, 1.0, 0.0, 0.0, 0.0
0.1, 0.6349206349206349, 0.0, 1.2095665874248263e-05, 2.2976923353905317e-12, 3.125799844944326e-12, -1.9999999999772464, -0.6349206348893068, 0.6349206349478307, 2.0000000000357705, 1.0, 0.0, 0.0, 0.0
0.1, 0.7142857142857142, 0.0, 1.0070563930958398e-05, 1.9524577300800973e-12, 3.1370970412908446e-11, -1.9999999999839635, -0.7142857142632049, 0.7142857143048171, 2.000000000025575, 1.0, 0.0, 0.0, 0.0
0.1, 0.7936507936507936, 0.0, 1.803366960759223e-05, 7.277211448550603e-12, 5.2267417820725294e-11, -1.9999999999503606, -0.7936507935795736, 0.7936507937097513, 2.000000000080539, 1.0, 0.0, 0.0, 0.0
0.1, 0.873015873015873, 0.0, 1.9611223654472654e-05, 1.024887325717935e-11, 6.009831091639802e-11, -1.9999999999420859, -0.873015872930656, 0.8730158730844976, 2.0000000000959304, 1.0, 0.0, 0.0, 0.0
0.1, 0.9523809523809523, 0.0, 2.2974552169222062e-05, 1.6816625879724892e-11, 1.8565100587337142e-10, -1.9999999999217317, -0.9523809522623744, 0.9523809524735233, 2.000000000132882, 1.0, 0.0, 0.0, 0.0
0.1, 1.0317460317460316, 0.0, 3.219656818001515e-05, 3.971728688787322e-11, -1.0562425300314701e-10, -1.9999999998491798, -1.0317460315095597, 1.0317460319242107, 2.0000000002638267, 1.0, 0.0, 0.0, 0.0
0.1, 1.1111111111111112, 0.0, 1.0455401765916902e-06, 5.087143478092342e-14, -2.492951825307111e-10, -1.9999999999998472, -1.1111111111108576, 1.1111111111112968, 2.0000000000002807, 1.0, 0.0, 0.0, 0.0
0.1, 1.1904761904761905, 0.0, 1.60228831962584e-06, 1.4662299410955936e-13, 5.45674836825904e-12, -1.9999999999996456, -1.190476190475583, 1.1904761904766092, 2.0000000000006697, 1.0, 0.0, 0.0, 0.0
0.1, 1.2698412698412698, 0.0, 3.5403944019032907e-06, 9.170219694252154e-13, 6.152115204469145e-11, -1.9999999999982894, -1.2698412698381496, 1.2698412698432957, 2.0000000000034355, 1.0, 0.0, 0.0, 0.0
0.1, 1.349206349206349, 0.0, 1.044314209858524e-05, 9.911885223425662e-12, 3.8832349488759227e-10, -1.9999999999861908, -1.3492063491791344, 1.349206349222761, 2.0000000000298184, 1.0, 0.0, 0.0, 0.0
0.1, 1.4285714285714284, 0.0, 2.2918246468724146e-05, 6.255567195158271e-11, -6.23744988780861e-11, -1.999999999937844, -1.4285714284357394, 1.4285714286458384, 2.0000000001479448, 1.0, 0.0, 0.0, 0.0
0.1, 1.507936507936508, 0.0, 2.574590767247521e-07, 1.117111579294834e-14, -3.9068847753567316e-10, -1.9999999999999931, -1.5079365079364897, 1.5079365079365186, 2.0000000000000195, 1.0, 0.0, 0.0, 0.0
0.1, 1.5873015873015872, 0.0, -5.045795604716517e-07, 5.416278983012602e-13, 5.261461146760166e-11, -1.9999999999997846, -1.5873015873009202, 1.5873015873018546, 2.000000000000719, 1.0, 0.0, 0.0, 0.0
0.1, 1.6666666666666665, 0.0, 4.837105568884846e-06, 8.362696745570989e-12, 9.669423023248386e-11, -1.9999999999983837, -1.6666666666594268, 1.6666666666687973, 2.000000000007753, 1.0, 0.0, 0.0, 0.0
0.1, 1.746031746031746, 0.0, 4.780898769195073e-06, 1.5889918411393936e-11, 0.5421872301454788, -1.9999999999991802, -1.7460317460228183, 1.7460317460331152, 2.0000000000094773, 1.0, 0.0, 0.0, 0.0
0.1, 1.8253968253968254, 0.0, 0.2962906932196348, 0.08606146511081963, 1.723097440614335, -2.001571987072864, -1.7905450300992516, 1.8256603000693996, 2.0366872570430106, 1.0, 0.0, 0.0, 0.0
0.1, 1.9047619047619047, 0.0, 0.47010438122768267, 0.27350753027213354, 2.36597991099983, -2.0158360183468353, -1.8050517792194285, 1.8934510309192776, 2.104235270046684, 1.0, 0.0, 0.0, 0.0
0.1, 1.984126984126984, 0.0, 0.5248887040877569, 0.46161383193618943, 2.3739053895979367, -2.0450033225022546, -1.8344486813718943, 1.9446519420434687, 2.1552065831738316, 1.0, 0.0, 0.0, 0.0
0.1, 2.0634920634920633, 0.0, 0.5013269930256585, 0.6503179095733933, 2.381063851498753, -2.0891238958979534, -1.8787816919628804, 1.9793131935373431, 2.1896553974724173, 1.0, 0.0, 0.0, 0.0
0.1, 2.142857142857143, 0.0, 0.38528829478214016, 0.8395604750312295, 2.2029971673789035, -2.1482429847689337, -1.9381009031165843, 1.997479731156281, 2.207621812808629, 1.0, 0.0, 0.0, 0.0
0.1, 2.2222222222222223, 0.0, 2.121703773186388e-05, 0.9999999996335367, 1.0107690067766248, -2.2222222222174737, -1.999999999832829, 2.0000000000132983, 2.2222222223979435, 1.0, 0.0, 0.0, 0.0
0.1, 2.3015873015873014, 0.0, 1.3716397524974298e-05, 0.9999999999164081, 2.3084418376839723e-09, -2.301587301576318, -1.999999999938843, 2.0000000000145004, 2.301587301651975, 1.0, 0.0, 0.0, 0.0
0.1, 2.380952380952381, 0.0, 3.640804146602672e-07, 0.999999999999956, 5.258400714858169e-10, -2.3809523809523676, -1.9999999999999525, 2.000000000000016, 2.3809523809524302, 1.0, 0.0, 0.0, 0.0
0.1, 2.46031746031746, 0.0, 7.921965608663673e-07, 0.9999999999998748, -6.574684796589737e-10, -2.4603174603173903, -1.9999999999998177, 2.000000000000078, 2.4603174603176523, 1.0, 0.0, 0.0, 0.0
0.1, 2.5396825396825395, 0.0, 2.737685934432743e-05, 0.999999999895596, -8.25521651037775e-11, -2.5396825395947835, -1.999999999801121, 2.0000000001009672, 2.539682539894625, 1.0, 0.0, 0.0, 0.0
0.1, 2.619047619047619, 0.0, 1.1152168107490118e-05, 0.9999999999867712, 6.496543303313729e-10, -2.619047619031842, -1.999999999968133, 2.000000000017933, 2.6190476190816403, 1.0, 0.0, 0.0, 0.0
0.1, 2.698412698412698, 0.0, 3.8971695974655135e-06, 0.9999999999987157, 8.247033056463238e-11, -2.6984126984106402, -1.9999999999961875, 2.00000000000232, 2.6984126984167744, 1.0, 0.0, 0.0, 0.0
0.1, 2.7777777777777777, 0.0, 1.3796848246797402e-06, 0.9999999999998618, 7.91626764140574e-12, -2.7777777777774944, -1.9999999999995046, 2.000000000000325, 2.7777777777783124, 1.0, 0.0, 0.0, 0.0
0.1, 2.8571428571428568, 0.0, 5.775488622131978e-07, 0.9999999999999722, 6.280975739514361e-13, -2.857142857142784, -1.9999999999998817, 2.000000000000077, 2.857142857142983, 1.0, 0.0, 0.0, 0.0
0.1, 2.9365079365079363, 0.0, 1.9977969585152575e-07, 0.9999999999999615, -1.3848502344870894e-10, -2.936507936507815, -1.9999999999998086, 2.000000000000136, 2.936507936508145, 1.0, 0.0, 0.0, 0.0
0.1, 3.015873015873016, 0.0, 2.3351310833072403e-05, 0.9999999999779905, -8.852049093732718e-11, -3.0158730157897535, -1.9999999998737794, 2.000000000091964, 3.015873016007939, 1.0, 0.0, 0.0, 0.0
0.1, 3.095238095238095, 0.0, 2.0090790271279357e-05, 0.9999999999859106, 8.692786490627214e-11, -3.095238095175243, -1.9999999999076483, 2.0000000000691935, 3.0952380953367884, 1.0, 0.0, 0.0, 0.0
0.1, 3.1746031746031744, 0.0, 1.6411290383613886e-05, 0.9999999999917886, 6.87235268692632e-11, -3.174603174560562, -1.99999999993904, 2.0000000000467804, 3.174603174668296, 1.0, 0.0, 0.0, 0.0
0.1, 3.253968253968254, 0.0, 1.0856128869446424e-05, 0.9999999999968191, 3.627228517544268e-11, -3.2539682539492674, -1.9999999999734643, 2.00000000002079, 3.2539682539965926, 1.0, 0.0, 0.0, 0.0
0.1, 3.333333333333333, 0.0, 1.0122401265813541e-05, 0.9999999999975461, 1.2943146554533769e-11, -3.3333333333166557, -1.999999999977162, 2.00000000001822, 3.3333333333577095, 1.0, 0.0, 0.0, 0.0
0.1, 3.4126984126984126, 0.0, 7.250657268739746e-06, 0.9999999999988736, 1.075319833176991e-11, -3.412698412689769, -1.9999999999883757, 2.000000000009422, 3.412698412710815, 1.0, 0.0, 0.0, 0.0
0.1, 3.492063492063492, 0.0, 6.181713189543081e-06, 0.9999999999992529, 1.5366707906139255e-12, -3.492063492057067, -1.9999999999914986, 2.00000000000699, 3.4920634920725604, 1.0, 0.0, 0.0, 0.0
0.1, 3.571428571428571, 0.0, 7.080052688041016e-06, 0.9999999999991175, 1.6625700816064182e-12, -3.57142857142012, -1.999999999988982, 2.0000000000091744, 3.571428571440314, 1.0, 0.0, 0.0, 0.0
0.1, 3.6507936507936507, 0.0, 5.50138697619218e-06, 0.9999999999995168, 3.623101818561736e-12, -3.6507936507885317, -1.9999999999934153, 2.000000000005545, 3.650793650800667, 1.0, 0.0, 0.0, 0.0
0.1, 3.73015873015873, 0.0, 4.49011840215896e-06, 0.9999999999996926, 1.2967626972226754e-12, -3.7301587301551495, -1.9999999999954432, 2.000000000003878, 3.730158730163579, 1.0, 0.0, 0.0, 0.0
0.1, 3.8095238095238093, 0.0, 4.514659352597428e-06, 0.9999999999997227, 8.148481889236336e-13, -3.809523809520275, -1.9999999999955462, 2.0000000000038263, 3.8095238095285504, 1.0, 0.0, 0.0, 0.0
0.1, 3.888888888888889, 0.0, 3.543586495069473e-06, 0.9999999999998219, 1.783573289060314e-13, -3.8888888888864113, -1.9999999999969136, 2.0000000000026708, 3.8888888888921684, 1.0, 0.0, 0.0, 0.0
0.1, 3.968253968253968, 0.0, 4.566616977355609e-06, 0.999999999999751, 4.0707437420905994e-13, -3.968253968250204, -1.9999999999953542, 2.0000000000040496, 3.968253968258904, 1.0, 0.0, 0.0, 0.0
0.1, 4.0476190476190474, 0.0, 3.262558813291183e-06, 0.9999999999998865, 1.5464629576911194e-12, -4.047619047617194, -1.9999999999977311, 2.000000000001991, 4.047619047621456, 1.0, 0.0, 0.0, 0.0
0.1, 4.1269841269841265, 0.0, 5.656881555821114e-07, 0.9999999999999964, 6.938449814697379e-13, -4.126984126984074, -1.9999999999999287, 2.0000000000000635, 4.126984126984203, 1.0, 0.0, 0.0, 0.0
0.1, 4.2063492063492065, 0.0, 2.562748935525989e-07, 0.9999999999999967, -7.595923889880396e-13, -4.2063492063491426, -1.9999999999999243, 2.000000000000068, 4.206349206349285, 1.0, 0.0, 0.0, 0.0
0.1, 4.285714285714286, 0.0, 3.7791994222241554e-06, 0.9999999999998759, -8.253397965063414e-13, -4.285714285711766, -1.9999999999969813, 2.0000000000027005, 4.2857142857174795, 1.0, 0.0, 0.0, 0.0
0.1, 4.365079365079365, 0.0, 3.964985813162403e-06, 0.9999999999998657, 6.882494574256271e-13, -4.365079365076447, -1.9999999999965214, 2.0000000000031286, 4.365079365083046, 1.0, 0.0, 0.0, 0.0
0.1, 4.444444444444445, 0.0, -8.398301558346691e-07, 0.9999999999999851, -6.574740751830177e-13, -4.444444444444105, -1.9999999999996023, 2.0000000000003624, 4.444444444444866, 1.0, 0.0, 0.0, 0.0
0.1, 4.523809523809524, 0.0, 4.821001833386602e-08, 0.9999999999997613, 2.098321516541546e-14, -4.523809523803646, -1.9999999999930733, 2.0000000000062848, 4.523809523816852, 1.0, 0.0, 0.0, 0.0
0.1, 4.603174603174603, 0.0, 7.817787809200061e-07, 0.9999999999999885, 1.4807155501728176e-12, -4.603174603174294, -1.9999999999996363, 2.000000000000333, 4.603174603174985, 1.0, 0.0, 0.0, 0.0
0.1, 4.682539682539682, 0.0, 6.907927842664252e-07, 0.9999999999999963, -5.126898905416511e-13, -4.682539682539581, -1.999999999999883, 2.0000000000001075, 4.682539682539808, 1.0, 0.0, 0.0, 0.0
0.1, 4.761904761904762, 0.0, 3.859221640228894e-06, 0.9999999999999071, -6.994405055138486e-14, -4.761904761902037, -1.9999999999968352, 2.0000000000029052, 4.76190476190811, 1.0, 0.0, 0.0, 0.0
0.1, 4.841269841269841, 0.0, -4.4121435031907463e-07, 0.9999999999999852, -1.2960632567171617e-12, -4.841269841269405, -1.999999999999489, 2.000000000000471, 4.841269841270381, 1.0, 0.0, 0.0, 0.0
0.1, 4.92063492063492, 0.0, 7.349021175662163e-06, 0.9999999999997014, 5.665468094662174e-14, -4.920634920625162, -1.9999999999887617, 2.0000000000103806, 4.920634920646779, 1.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, 1.5058161132466665e-07, 0.9999999999999942, 3.690248107091066e-12, -4.999999999999807, -1.999999999999775, 2.0000000000002083, 5.0000000000002345, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -7.367211013406629e-08, 0.0, 1.4874270937003902e-15, -1.9999999999998552, 2.420215518388564e-13, 2.881120939381273e-13, 2.0000000000003864, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.07936507936507936, 0.0, 1.1593813268753566e-07, 1.180497693413008e-16, 8.502817167600688e-16, -1.999999999999997, -0.07936507936507269, 0.07936507936508583, 2.0000000000000107, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.15873015873015872, 0.0, -5.1666952300099796e-08, 1.3496535186667757e-16, 8.637800774694664e-15, -1.999999999999998, -0.1587301587301548, 0.1587301587301623, 2.0000000000000058, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.23809523809523808, 0.0, -1.199331442978435e-07, 1.4891292573880728e-15, 2.250256987421845e-15, -1.9999999999999833, -0.2380952380952099, 0.23809523809526337, 2.0000000000000373, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.31746031746031744, 0.0, -4.851956219086115e-08, 4.921490006637958e-16, 1.179732217253317e-15, -1.999999999999997, -0.3174603174603104, 0.3174603174603233, 2.0000000000000098, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3968253968253968, 0.0, 1.9446410057945122e-07, 1.676388339491774e-15, 1.9020853338569677e-14, -1.999999999999992, -0.396825396825378, 0.3968253968254121, 2.000000000000025, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.47619047619047616, 0.0, 1.8182147386074045e-07, 3.51133207027803e-15, 7.1966429431762e-14, -1.9999999999999847, -0.4761904761904439, 0.47619047619050187, 2.0000000000000435, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.5555555555555556, 0.0, 2.122104524344818e-08, 1.3099631106438123e-14, 2.6868657407163657e-14, -1.999999999999952, -0.5555555555554551, 0.5555555555556315, 2.000000000000134, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.6349206349206349, 0.0, 2.9756916148456866e-07, 7.776198325383372e-15, 3.0495409280738206e-14, -1.9999999999999782, -0.6349206349205841, 0.6349206349206717, 2.000000000000063, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.7142857142857142, 0.0, -2.8180823439175576e-07, 1.7940172262110854e-14, -9.134014260792265e-15, -1.99999999999996, -0.7142857142856139, 0.7142857142857827, 2.000000000000129, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.7936507936507936, 0.0, 1.7040400837586682e-07, 6.3263547919242825e-15, -5.548801689485254e-14, -1.9999999999999853, -0.7936507936507632, 0.7936507936508127, 2.000000000000037, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.873015873015873, 0.0, 2.4761453281459556e-07, 9.13255053276918e-15, 7.370998850666097e-14, -1.999999999999987, -0.8730158730158355, 0.8730158730158954, 2.000000000000048, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.9523809523809523, 0.0, 8.1137492896678e-08, 1.8026352967584753e-14, 2.2927506082324054e-12, -1.9999999999999774, -0.9523809523808876, 0.9523809523809883, 2.0000000000000795, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.0317460317460316, 0.0, 1.3760594035512868e-06, 3.7306121850616683e-13, 1.664453628561405e-11, -1.9999999999996718, -1.0317460317448988, 1.0317460317466158, 2.0000000000013882, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.1111111111111112, 0.0, 3.3357661741780648e-06, 2.6600162395729894e-12, -2.2465427379213825e-12, -1.999999999998264, -1.1111111111042236, 1.1111111111143213, 2.0000000000083595, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.1904761904761905, 0.0, 2.003793029106319e-07, 1.6467133121820454e-14, -1.6590693678291172e-11, -1.999999999999993, -1.1904761904761545, 1.1904761904762065, 2.0000000000000435, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.2698412698412698, 0.0, -2.0100585598921677e-08, 2.6572798574390926e-14, 1.2476341173999504e-09, -1.999999999999992, -1.2698412698412216, 1.2698412698412869, 2.000000000000057, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.349206349206349, 0.0, 2.0587423877926978e-05, 1.9805362862517742e-10, 5.0606687529197074e-12, -1.9999999999676852, -1.3492063489061334, 1.349206349290722, 2.000000000352271, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.4285714285714284, 0.0, 1.1609462171209822e-06, 8.298535530060904e-13, 0.16853435495362837, -1.9999999999999545, -1.4285714285704076, 1.4285714285716373, 2.000000000001185, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.507936507936508, 0.0, 0.18722716037803114, 0.02675148511132797, 0.6313930179830497, -2.0003901827403556, -1.479868872821204, 1.5116511748709855, 2.0321724847901352, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.5873015873015872, 0.0, 0.3464318137918976, 0.10022111396639329, 0.9318822363777618, -2.0054216183573885, -1.4867910705052476, 1.5956046719629327, 2.1142352198150745, 1.0, 0.0, 0.0, 0.0
