J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 3.0959490319866677e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0
0.1, 0.07936507936507936, 0.0, 4.4952294105098795e-06, 2.457102406338625e-13, 3.1053605852798444e-12, -1.9999999998747995, 0.9206349206497172, 1.0793650796424525, 1.0, 0.0, 0.0
0.1, 0.15873015873015872, 0.0, 4.610522727651473e-06, 4.929143786158483e-13, 2.877888022297062e-12, -1.9999999998749736, 0.841269841350479, 1.1587301589413777, 1.0, 0.0, 0.0
0.1, 0.23809523809523808, 0.0, 4.479614093074943e-06, 7.025178632206978e-13, 3.1334576581199528e-12, -1.999999999882084, 0.7619047620016918, 1.2380952382737196, 1.0, 0.0, 0.0
0.1, 0.31746031746031744, 0.0, 4.867852737375916e-06, 9.902886100634598e-13, 3.732370755220322e-12, -1.999999999876635, 0.6825396826521797, 1.3174603176361968, 1.0, 0.0, 0.0
0.1, 0.3968253968253968, 0.0, 4.237153394679588e-06, 1.2949576656366219e-12, 3.877343408718837e-12, -1.999999999872674, 0.6031746032977346, 1.396825397000204, 1.0, 0.0, 0.0
0.1, 0.47619047619047616, 0.0, 4.688389696505188e-06, 1.6057399447807355e-12, 3.8680495329933754e-12, -1.9999999998705993, 0.5238095239395764, 1.476190476363601, 1.0, 0.0, 0.0
0.1, 0.5555555555555556, 0.0, 5.330116768101703e-06, 1.9089337819847767e-12, 5.0994303491769016e-12, -1.9999999998707316, 0.44444444457802657, 1.5555555557253058, 1.0, 0.0, 0.0
0.1, 0.6349206349206349, 0.0, 5.66503967964517e-06, 2.4151733335389737e-12, 5.466573122183674e-12, -1.9999999998601652, 0.365079365227006, 1.6349206351017147, 1.0, 0.0, 0.0
0.1, 0.7142857142857142, 0.0, 4.437062239836045e-06, 2.7766438013790106e-12, 5.396299145328517e-12, -1.9999999998608429, 0.2857142858638146, 1.7142857144640014, 1.0, 0.0, 0.0
0.1, 0.7936507936507936, 0.0, 4.39551580919649e-06, 3.271728753432389e-12, 7.037999780179267e-12, -1.9999999998568045, 0.20634920650540164, 1.7936507938327484, 1.0, 0.0, 0.0
0.1, 0.873015873015873, 0.0, 4.440298554014496e-06, 3.893786623629688e-12, 9.07606606831315e-12, -1.9999999998502174, 0.12698412714969265, 1.8730158732049853, 1.0, 0.0, 0.0
0.1, 0.9523809523809523, 0.0, 6.002716056783056e-06, 4.712374161101143e-12, 9.95282009462477e-12, -1.9999999998399807, 0.047619047798099966, 1.952380952582005, 1.0, 0.0, 0.0
0.1, 1.0317460317460316, 0.0, 6.260980447694506e-06, 5.473599337062191e-12, 1.092616686201857e-11, -1.999999999835448, -0.03174603155977932, 2.0317460319520273, 1.0, 0.0, 0.0
0.1, 1.1111111111111112, 0.0, 6.108291435892241e-06, 6.446686361421551e-12, 1.4077718176576577e-11, -1.9999999998281526, -0.11111111091442194, 2.1111111113256986, 1.0, 0.0, 0.0
0.1, 1.1904761904761905, 0.0, 7.4170103268357546e-06, 7.708157777788632e-12, 1.5098976297419063e-11, -1.9999999998177185, -0.19047619026524598, 2.1904761907034525, 1.0, 0.0, 0.0
0.1, 1.2698412698412698, 0.0, 6.374162997143523e-06, 8.843349265773783e-12, -1.1752099581828865e-11, -1.999999999814574, -0.26984126962428484, 2.269841270072306, 1.0, 0.0, 0.0
0.1, 1.349206349206349, 0.0, 3.2047760001811333e-06, 5.842745145752304e-12, -9.558658364549472e-12, -1.9999999998915328, -0.34920634907796, 2.3492063493415345, 1.0, 0.0, 0.0
0.1, 1.4285714285714284, 0.0, 2.781669163138735e-06, 7.326101906321486e-12, 1.86112780700085e-11, -1.9999999998798632, -0.4285714284275218, 2.428571428721326, 1.0, 0.0, 0.0
0.1, 1.507936507936508, 0.0, 3.1194064427118706e-06, 8.796916267975875e-12, 2.2436973127224097e-11, -1.9999999998729965, -0.5079365077824364, 2.507936508095301, 1.0, 0.0, 0.0
0.1, 1.5873015873015872, 0.0, 3.1019510440281698e-06, 1.0887526212230073e-11, 3.0937755716450586e-11, -1.9999999998621931, -0.5873015871321229, 2.587301587474417, 1.0, 0.0, 0.0
0.1, 1.6666666666666665, 0.0, 3.6659301824217025e-06, 1.3707671143602952e-11, 4.803836184551521e-11, -1.9999999998486861, -0.6666666664778234, 2.6666666668572185, 1.0, 0.0, 0.0
0.1, 1.746031746031746, 0.0, 3.7489032142285242e-06, 1.8512663013105502e-11, 6.487715716686617e-11, -1.9999999998229203, -0.7460317458071198, 2.746031746255933, 1.0, 0.0, 0.0
0.1, 1.8253968253968254, 0.0, 4.143398353160872e-06, 2.4005632598661075e-11, -1.0802791730253392e-10, -1.9999999998025586, -0.8253968251417856, 2.825396825648476, 1.0, 0.0, 0.0
0.1, 1.9047619047619047, 0.0, 4.1354102540529044e-07, 1.3653745523858325e-12, -1.3844644360658723e-10, -1.9999999999904334, -0.9047619047492917, 2.9047619047741975, 1.0, 0.0, 0.0
0.1, 1.984126984126984, 0.0, -1.9453518958759554e-06, 2.0300066293615148e-12, 1.2897608379128475e-11, -1.9999999999880178, -0.9841269841108119, 2.984126984142546, 1.0, 0.0, 0.0
0.1, 2.0634920634920633, 0.0, -3.942736643068537e-07, 3.4126139776443205e-12, 1.8346556510630427e-11, -1.9999999999832594, -1.063492063468845, 3.0634920635140825, 1.0, 0.0, 0.0
0.1, 2.142857142857143, 0.0, -1.589664453240719e-06, 4.9421584564457095e-12, 5.441511210006682e-11, -1.9999999999801854, -1.1428571428287595, 3.1428571428836416, 1.0, 0.0, 0.0
0.1, 2.2222222222222223, 0.0, -6.096528051721263e-06, 1.2049933358607307e-11, 1.0187296837875568e-10, -1.9999999999613116, -1.2222222221646155, 3.2222222222750245, 1.0, 0.0, 0.0
0.1, 2.3015873015873014, 0.0, -8.149647223384776e-06, 2.1112470897518038e-11, 2.70246753234416e-10, -1.9999999999471163, -1.3015873015047053, 3.3015873016614226, 1.0, 0.0, 0.0
0.1, 2.380952380952381, 0.0, -1.7593956513682217e-05, 5.4946243395816196e-11, 1.0225529354712716e-09, -1.9999999998961793, -1.380952380780133, 3.3809523811030884, 1.0, 0.0, 0.0
0.1, 2.46031746031746, 0.0, -2.464074553299624e-05, 1.8342246065486273e-10, 2.2704852317600122e-10, -1.999999999750179, -1.46031745986879, 3.460317460697973, 1.0, 0.0, 0.0
0.1, 2.5396825396825395, 0.0, -1.672858297992698e-05, 9.098569151899099e-11, 1.874860492940907e-09, -1.9999999999162577, -1.5396825395147666, 3.539682539819287, 1.0, 0.0, 0.0
0.1, 2.619047619047619, 0.0, -3.6813247561974136e-05, 4.810193642962765e-10, 2.369907957450436e-10, -1.9999999997290394, -1.619047618409383, 3.619047619541023, 1.0, 0.0, 0.0
0.1, 2.698412698412698, 0.0, -6.381467400827317e-06, 1.286032781451884e-10, -1.8213046764969208e-09, -1.9999999999627545, -1.698412698297778, 3.698412698495132, 1.0, 0.0, 0.0
0.1, 2.7777777777777777, 0.0, -1.4359026122451888e-06, 1.9192338389993993e-10, 0.27311824105549115, -1.9999999999810767, -1.777777777673495, 3.777777777844409, 1.0, 0.0, 0.0
0.1, 2.8571428571428568, 0.0, 0.18304328961697705, 0.04335210188344314, 1.8932343657063526, -2.0002600486761954, -1.8438287707803815, 3.864188179069457, 1.0, 0.0, 0.0
0.1, 2.9365079365079363, 0.0, 0.41716274144436294, 0.30051339157388407, 3.1867450612528625, -2.0140417993885658, -1.854614756589326, 3.973052884143298, 1.0, 0.0, 0.0
0.1, 3.015873015873016, 0.0, 0.45292348076798317, 0.5491846512886595, 3.149170440130314, -2.0477688277474435, -1.8880647418652285, 4.0589172733031225, 1.0, 0.0, 0.0
0.1, 3.095238095238095, 0.0, 0.3615519982414829, 0.8003817154040926, 2.840136430320183, -2.101279132596141, -1.9429269397941498, 4.122649993877319, 1.0, 0.0, 0.0
0.1, 3.1746031746031744, 0.0, -2.7489601873122204e-05, 0.9999999576886884, 1.257595192504481, -2.174603173596153, -1.999999984245652, 4.174603183601023, 1.0, 0.0, 0.0
0.1, 3.253968253968254, 0.0, -1.676210513618841e-06, 0.9999999999286134, 2.662957153787282e-07, -2.253968253956433, -1.9999999999520564, 4.253968254000294, 1.0, 0.0, 0.0
0.1, 3.333333333333333, 0.0, -1.3663407080128688e-06, 0.9999999999578496, -7.76199204910455e-10, -2.3333333333169457, -1.9999999999556881, 4.333333333365844, 1.0, 0.0, 0.0
0.1, 3.4126984126984126, 0.0, -2.403749548286089e-05, 0.9999999998054072, 6.806115671054158e-11, -2.412698412563609, -1.9999999997060558, 4.412698412927717, 1.0, 0.0, 0.0
0.1, 3.492063492063492, 0.0, -9.65824855588015e-06, 0.999999999968653, 8.07187916507246e-10, -2.4920634920297395, -1.9999999999357816, 4.4920634921158324, 1.0, 0.0, 0.0
0.1, 3.571428571428571, 0.0, -1.650489917534077e-05, 0.9999999999335323, 6.681125652718834e-11, -2.5714285713262117, -1.9999999998228972, 4.5714285715776946, 1.0, 0.0, 0.0
0.1, 3.6507936507936507, 0.0, -1.2172438865787008e-05, 0.9999999999792579, 3.632096623462644e-10, -2.6507936507504724, -1.9999999999303624, 4.650793650853787, 1.0, 0.0, 0.0
0.1, 3.73015873015873, 0.0, -4.398175594037538e-06, 0.9999999999911846, -2.460750603283657e-10, -2.730158730134923, -1.9999999999636269, 4.730158730190775, 1.0, 0.0, 0.0
0.1, 3.8095238095238093, 0.0, 4.823902593618543e-06, 0.9999999999401984, -1.7067187663144524e-10, -2.8095238093206834, -1.99999999970279, 4.80952380978996, 1.0, 0.0, 0.0
