J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
0.1, 0.0, 0.0, 8.52065500035748e-06, 0.0, 9.650959049193104e-13, -1.9999999999883604, 1.4284336859806493e-11, 1.481751104534831e-11, 2.0000000000174607, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 0.0, 0.5, 6.688197590018485e-06, 0.0, 0.07538770896380736, -1.9999999999928404, 8.88262848916824e-12, 9.016371461082239e-12, 2.000000000010739, 0.9643510838247388, 0.017662706213232474, 0.017662706213227748, 0.0003235037487981665, 0 
0.1, 0.0, 1.0, 1.892124767380321e-06, 0.0, 0.21140828302157164, -1.9999999999994258, 7.042829992343675e-13, 7.308910261485656e-13, 2.000000000000861, 0.7758034925744025, 0.10499358540349644, 0.10499358540349367, 0.01420933661860745, 0 
0.1, 0.0, 1.5, 1.0170265177383842e-06, 0.0, 0.22013543988145862, -1.999999999999835, 2.0303721363433664e-13, 2.1191090390968943e-13, 2.000000000000249, 0.626300463021059, 0.16509100965290155, 0.16509100965290058, 0.04351751767313934, 0 
0.1, 0.0, 2.0, 1.8850287339389205e-07, 0.0, 0.19644806307207097, -1.9999999999999944, 7.041900235561445e-15, 7.106666655550738e-15, 2.0000000000000084, 0.5344466453885233, 0.1966119332414818, 0.1966119332414818, 0.0723294881285132, 0 
0.1, 0.3333333333333333, 0.0, 6.75360695939764e-06, 3.2169863497310343e-13, 3.35969963897928e-12, -1.999999999992754, -0.33333333332389825, 0.3333333333421425, 2.0000000000109983, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 0.3333333333333333, 0.5, 5.803304824816835e-06, 0.02512923632126912, 0.0902466243625104, -1.999999999994564, -0.3333333333262529, 0.333333333339944, 2.000000000008254, 0.9565597350313173, 0.034124305623644505, 0.008995069302587543, 0.0003208900424575277, 0 
0.1, 0.3333333333333333, 1.0, 1.99495379783754e-06, 0.07046942767385721, 0.21545903729607158, -1.9999999999993692, -0.33333333333251003, 0.3333333333341021, 2.0000000000009615, 0.766775195501707, 0.14482512729124636, 0.07435569961740418, 0.014043977589643177, 0 
0.1, 0.3333333333333333, 1.5, 3.376022892354058e-07, 0.0733784799604862, 0.22014213675703095, -1.99999999999998, -0.33333333333330967, 0.3333333333333554, 2.0000000000000266, 0.6212150428081755, 0.20449963601323876, 0.1311211560527529, 0.043164165125832245, 0 
0.1, 0.3333333333333333, 2.0, 1.0789796274501828e-07, 0.06548268769069032, 0.19595265586220678, -1.999999999999994, -0.33333333333333093, 0.3333333333333354, 2.000000000000004, 0.5315369607561683, 0.23100501089992828, 0.16552232320923813, 0.0719357051346644, 0 
0.1, 0.6666666666666666, 0.0, 1.1516897911192925e-05, 2.23979975931952e-12, 4.0192307884540256e-11, -1.9999999999794282, -0.6666666666381299, 0.6666666666912213, 2.0000000000325184, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 0.6666666666666666, 0.5, 4.908006454903968e-06, 0.06016441624167359, 0.13740159381767986, -1.9999999999962654, -0.6666666666614852, 0.6666666666711252, 2.0000000000059024, 0.9305382387873115, 0.0646570083255427, 0.004492592084206615, 0.0003121608029460132, 0 
0.1, 0.6666666666666666, 1.0, 1.473112207162064e-06, 0.14363935819738105, 0.2265691807778563, -1.9999999999996632, -0.6666666666661997, 0.666666666667068, 2.000000000000532, 0.739975426238841, 0.1950554046324982, 0.05141604643513498, 0.013553122693525125, 0 
0.1, 0.6666666666666666, 1.5, 4.0308050104631565e-07, 0.1467614245046873, 0.21999334387736827, -1.9999999999999734, -0.666666666666629, 0.6666666666666999, 2.0000000000000444, 0.6062042371033889, 0.24921801243073455, 0.1024565879260483, 0.04212116253982845, 0 
0.1, 0.6666666666666666, 2.0, 4.2023563753823545e-07, 0.13063510390813785, 0.19444868595164785, -1.999999999999971, -0.666666666666627, 0.6666666666667002, 2.0000000000000417, 0.5229169557562761, 0.2684745169176792, 0.1378394130095422, 0.07076911431650243, 0 
0.1, 1.0, 0.0, 2.7614230326544753e-05, 2.711657055799994e-11, 6.412054276177192e-12, -1.9999999998881448, -0.999999999827132, 1.0000000001321943, 2.000000000193208, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 1.0, 0.5, 9.833227733291316e-06, 0.11673029886638903, 0.2207596422339694, -1.9999999999858178, -0.9999999999780806, 1.0000000000167608, 2.000000000024496, 0.8786191987282098, 0.11890817811516795, 0.00217787925129717, 0.0002947439053248847, 0 
0.1, 1.0, 1.0, 2.0980587696339814e-06, 0.22151554819242805, 0.24173861605588381, -1.9999999999993516, -0.9999999999990005, 1.000000000000764, 2.0000000000011187, 0.696387487194595, 0.25618663962784255, 0.03467109143547826, 0.0127547817420832, 0 
0.1, 1.0, 1.5, 7.243760016262257e-07, 0.22004070921206503, 0.21922265070142796, -1.9999999999999234, -0.9999999999998812, 1.000000000000089, 2.0000000000001315, 0.5819922788642145, 0.2988047991136695, 0.07876408990160949, 0.04043883212050727, 0 
0.1, 1.0, 2.0, 5.463351873541411e-07, 0.1951151449917889, 0.19188837712294868, -1.9999999999999545, -0.999999999999932, 1.000000000000052, 2.0000000000000746, 0.5089068616592043, 0.3086676145344396, 0.1135524695426527, 0.06887305426370308, 0 
0.1, 1.3333333333333333, 0.0, 8.682358600166362e-06, 6.514502610104315e-12, -2.8130810718643427e-11, -1.999999999990348, -1.3333333333146342, 1.3333333333447928, 2.000000000020507, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 1.3333333333333333, 0.5, 1.2074812794860001e-05, 0.20733751106431986, 0.3327905505477986, -1.9999999999813336, -1.3333333332971653, 1.3333333333555006, 2.0000000000396687, 0.7903856012475028, 0.20834338248942705, 0.0010058714322328164, 0.00026514483083965677, 0 
0.1, 1.3333333333333333, 1.0, 1.7163434015698975e-06, 0.30479843556797026, 0.2564847280472067, -1.9999999999996219, -1.3333333333326016, 1.333333333333781, 2.000000000000802, 0.6379964863560614, 0.32755831797772966, 0.022759882409834963, 0.011685313256373892, 0 
0.1, 1.3333333333333333, 1.5, 9.908202680264377e-07, 0.29290985830563926, 0.21717820336642668, -1.9999999999998723, -1.3333333333330895, 1.333333333333482, 2.0000000000002682, 0.5497429816428349, 0.3524844185063669, 0.05957456020074417, 0.03819803965005382, 0 
0.1, 1.3333333333333333, 2.0, 0.0, 0.2585606886567703, 0.18820907223971264, -2.000000000000001, -1.3333333333333333, 1.3333333333333335, 2.000000000000003, 0.4900177992313572, 0.35111309588772815, 0.0925524072309579, 0.06631669764995721, 0 
0.1, 1.6666666666666665, 0.0, 4.837105568884846e-06, 8.362696745570989e-12, 0.7489635220739855, -1.9999999999983837, -1.6666666666594268, 1.6666666666687973, 2.000000000007753, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 1.6666666666666665, 0.5, 1.7657163783255103e-05, 0.33859066589825476, 0.43849070819707686, -1.9999999999784253, -1.666666666570151, 1.666666666695055, 2.0000000001033293, 0.6603249177940247, 0.3390221168684281, 0.00043145100538732363, 0.000221514332156474, 0 
0.1, 1.6666666666666665, 1.0, 2.016186132408615e-06, 0.3925053668905658, 0.2658230316402806, -1.9999999999997182, -1.6666666666654073, 1.6666666666670378, 2.000000000001349, 0.5680499780847832, 0.4070255952681041, 0.01452022837776869, 0.010404198269343148, 0 
0.1, 1.6666666666666665, 1.5, 8.597410288413432e-07, 0.36482617812301615, 0.21318145830392116, -1.9999999999999498, -1.666666666666438, 1.6666666666667347, 2.000000000000245, 0.51098746096737, 0.409166772418017, 0.0443405942950286, 0.035505172319584846, 0 
